NUMMER_TAL	CentX	CentY
1576	724584	6175462
1577	724465	6175473
1600	723944	6176511
1601	723894	6176145
1602	723984	6176135
1603	724059	6176322
1604	723918	6176161
1605	723969	6175969
1606	724083	6176073
1607	724124	6176186
1608	724332	6176020
1609	724198	6175952
1610	723808	6175739
1611	724156	6176036
1612	724045	6175874
1613	724032	6175785
1614	723985	6175746
1615	723889	6175696
1616	723770	6175640
1617	723604	6175602
1618	723376	6175666
1619	723312	6175616
1620	723568	6175572
1621	723233	6175584
1622	723091	6175530
1623	723029	6175451
1624	723077	6175470
1631	723615	6176657
1632	723566	6176691
1633	723670	6176639
1634	723637	6176578
1635	723340	6176923
1650	723597	6175214
1651	724196	6175568
1652	724113	6175502
1653	724026	6175529
1654	723949	6175435
1655	723861	6175427
1656	723749	6175450
1657	723710	6175308
1658	723654	6175265
1659	723609	6175460
1660	723516	6175236
1661	723449	6175410
1662	723402	6175217
1663	723338	6175161
1664	723280	6175478
1665	723275	6175120
1666	723268	6175230
1667	723151	6175143
1668	723210	6175070
1669	723350	6175585
1670	723145	6174934
1671	723096	6174969
1672	723119	6175100
1673	723129	6175021
1674	722983	6174930
1675	723161	6174851
1676	723255	6174813
1677	723169	6174797
1700	723965	6175298
1701	724167	6175501
1702	724202	6175459
1703	724147	6175366
1704	724450	6175502
1705	723717	6174792
1706	723966	6175374
1707	723985	6175487
1708	723809	6175246
1709	723612	6175123
1710	724139	6175305
1711	723921	6175041
1712	723829	6175092
1713	724177	6175206
1714	723890	6174895
1715	724006	6175168
1716	723896	6175165
1717	723812	6174917
1718	723732	6174904
1719	723699	6174849
1720	723237	6174735
1721	723543	6174854
1722	723657	6174824
1723	723495	6174975
1724	723487	6175038
1725	723630	6174769
1726	723530	6174765
1727	723469	6174731
1728	723391	6174697
1729	723309	6174655
1730	723253	6174625
1731	723165	6174595
1732	723106	6174571
1733	723004	6174533
1734	723148	6174697
1735	723074	6174679
1736	722991	6174720
1737	723023	6174647
1738	722976	6174628
1739	722929	6174596
1748	722141	6174957
1749	722481	6175206
1750	722666	6174842
1751	722992	6175271
1752	722900	6175235
1753	722919	6175192
1754	722974	6175165
1755	722884	6175182
1756	722811	6175204
1757	722779	6175123
1758	722905	6175001
1759	722961	6175047
1760	722683	6174825
1761	722748	6174864
1762	722766	6174653
1763	722837	6174658
1764	722775	6174674
1765	722683	6174589
1766	722777	6174565
1770	722600	6175053
1771	722676	6175050
1772	722632	6175026
1773	722602	6175007
1774	722626	6174979
1775	722519	6174975
1777	722578	6174842
1778	722304	6174815
1800	722407	6175268
1801	722264	6175077
1802	722317	6175188
1803	722302	6175224
1804	722225	6175170
1805	722155	6174978
1806	722291	6175442
1807	722286	6175359
1808	722341	6175386
1809	722430	6175479
1810	722689	6175453
1811	722493	6175570
1812	722537	6175468
1813	722606	6175459
1814	722766	6175554
1815	722846	6175556
1816	722912	6175568
1817	722875	6175491
1818	722986	6175552
1819	723307	6175718
1820	722668	6175667
1822	723091	6175530
1823	723039	6175579
1824	723121	6175706
1825	723028	6175736
1826	722955	6175751
1827	722882	6175770
1828	722801	6175789
1829	722737	6175801
1850	722947	6175883
1851	722640	6175822
1852	722551	6175843
1853	722440	6175802
1854	722341	6175813
1855	722384	6175898
1856	722482	6175966
1857	722407	6175985
1860	722377	6176399
1861	722355	6176245
1862	722394	6176250
1863	722488	6176314
1864	722525	6176171
1865	722569	6176208
1866	722540	6176101
1867	722646	6176175
1868	722693	6176052
1870	722901	6176451
1871	722888	6176490
1872	722992	6176378
1873	722907	6176350
1874	723057	6176318
1875	722978	6176241
1876	722949	6176126
1877	722874	6176031
1878	722958	6176004
1879	723188	6176396
1900	723597	6176131
1901	723068	6175897
1902	723183	6176073
1903	723254	6176052
1904	723334	6175964
1905	723358	6175904
1906	723410	6175840
