			0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66	67	68	69	70	71
Fodermiddel	Productname	Plantname	Foderkode	Tørstof, procent	Procent af tørstof	Råaske	Råprotein	Fordøjeligt råprotein	AAT	PBV	Råfedt	Fordøjeligt råfedt	Fedtsyrer	Jodtal	Kulhydrat	Træstof	Sukker	Stivelse	Fordøjelige cellevægge	NDF	Fordøjelighedskoefficient	Råprotein	Protein nedbrg. (% af N)	Oprindeligt protein i tarm	Unedbrudt protein i tarm	Råfedt	Kulhydrat	Organisk stof	Mineraler, pr. kg tørstof	Calcium, g	Fosfor, g	Magnesium, g	Kalium, g	Natrium, g	Klor, g	Svovl, g	CAB, meq	Jern, mg	Mangan, mg	Zink, mg	Kobber, mg	Cobolt, mg	Selen, mg	Vitaminer, pr. kg tørstof	A-vitamin, 1000 i.e.	Beta-cartoen, mg	D-vitamin, 1000 i.e.	E-vitamin, mg	Struktur/fylde, pr. kg tørstof	Tyggetid, minutter	FFk, fylde køer	FFu, fylde ungdyr	Energi	Ford. energi, MJ pr. kg tørstof	FE pr. kg tørstof	Indhold pr. FE	Kg tørstof	Kg foder	Ford. råprotein, g	AAT, g	PBV, g	Fedtsyrer, g	Sukker, g	Stivelse, g	Ford. cellevægge, g	FFk, fylde køer	FFu, fylde ungdyr	Tyggetid, minutter	PigFE	Pig Ford råprotein	Lysin	Methionin	Treonin	Type
Vinterbyg 			200	85	  	2.1	11.2	7.4	9.7	-5.2	3.2	2.1	2.2	120.0	83.5	5.3	2.0	60.1	11.6	14.0	  	66.2	71.0	91.0	69.0	64.6	88.3	85.0	  	0.4	3.4	1.3	4.7	0.2	1.4	0.9	33.2	58.0	14.0	31.0	3.0	0.0	0.0	  	  	  	  	20	  	4	0.22	1.05	  	15.3	1.1	  	0.9	1.0	66.0	86.9	-46.7	19.9	17.8	536.3	103.7	0.2	0.9	3.6						1
Vårbyg 	FEEDBARLEY	BARLEY	201	85	  	2.2	10.8	7.1	9.7	-5.5	3.1	1.9	2.1	120.0	83.9	5.3	2.0	60.9	11.2	14.0	  	65.3	71.0	91.0	69.0	63.3	88.3	85.0	  	0.4	3.5	1.3	4.7	0.2	1.4	0.9	33.2	58.0	14.0	31.0	3.0	0.0	0.0	  	  	  	  	20	  	4	0.22	1.05	  	15.2	1.1	  	0.9	1.1	63.3	87.1	-49.8	19.2	17.9	546.5	100.1	0.2	0.9	3.6	1	80	2.89	1.53	2.68	1
Havre 	FEEDOAT	OAT	202	85	  	2.6	10.4	6.6	7.8	-2.7	5.4	4.2	4.3	110.0	81.7	13.5	1.8	47.8	10.7	28.0	  	64.0	78.0	94.0	72.7	77.5	73.8	73.0	  	1.5	3.8	1.3	5.0	0.1	1.2	0.9	42.8	79.0	45.0	40.0	4.0	0.0	0.0	  	  	  	  	20	  	4	0.22	1.05	  	13.5	0.9	  	1.1	1.3	72.3	85.3	-29.4	47.2	19.7	521.8	116.7	0.2	1.1	4.4	0.78	70	2.92	1.14	2.28	1
Hvede 	FEEDWHEAT	WHEAT	203	85	  	1.8	11.5	7.7	10.8	-5.7	2.5	1.4	1.7	105.0	84.2	2.8	3.2	68.0	8.1	9.0	  	67.0	73.0	97.0	88.9	55.5	94.2	90.0	  	0.3	3.1	0.9	4.8	0.1	0.8	0.5	73.3	50.0	24.0	26.0	2.0	0.0	0.1	  	  	  	  	15	  	4	0.22	1.05	  	16.1	1.2	  	0.8	1.0	63.8	89.1	-47.5	14.3	26.5	562.1	67.1	0.2	0.9	3.3	1.1	87	2.51	1.5	2.49	1
Majs 	FEEDMAIZE	MAIZE	204	86	  	1.5	9.0	5.4	13.1	-11.3	4.6	3.4	4.1	120.0	84.9	2.3	1.7	71.2	6.0	11.5	  	59.7	31.0	93.0	89.9	74.3	92.9	89.0	  	0.1	3.0	1.2	3.8	0.1	0.7	0.2	69.3	96.0	5.0	28.0	3.0	0.1	0.1	  	  	  	  	15	  	4	0.22	1.05	  	16.1	1.2	  	0.8	1.0	44.1	107.9	-92.8	34.0	14.0	585.2	49.1	0.2	0.9	3.3						1
Milo 			205	86	  	1.7	11.5	7.7	14.4	-10.5	3.5	2.4	2.5	115.0	83.3	2.3	1.1	74.9	1.9	  	  	66.9	30.0	93.0	90.0	67.4	93.5	89.5	  	0.5	3.1	1.4	4.0	0.1	  	  	  	67.0	16.0	27.0	7.0	0.1	0.1	  	  	  	  	  	  	4	0.22	1.05	  	16.1	1.2	  	0.8	1.0	63.1	118.3	-85.7	20.1	9.0	613.9	15.6	0.2	0.9	3.3						1
Ris 	FEEDRICE	RICE	206	86	  	6.1	9.7	6.0	12.9	-10.0	2.5	1.4	1.8	  	81.7	9.9	0.0	69.1	3.4	  	  	62.1	30.0	93.0	90.0	56.0	88.8	85.1	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	4	0.22	1.05	  	14.5	1.0	  	1.0	1.1	58.5	125.4	-97.6	17.0	0.0	671.6	33.2	0.2	1.0	3.9						1
Rug 	FEEDRYE	RYE	207	85	  	2.0	9.8	6.1	10.1	-6.8	2.1	1.0	1.5	105.0	86.1	2.5	7.0	64.0	9.1	10.0	  	62.3	77.0	96.0	82.6	48.8	93.0	89.0	  	0.4	3.0	1.0	5.5	0.1	0.7	0.2	112.8	71.0	24.0	33.0	2.0	0.0	0.0	  	  	  	  	15	  	4	0.22	1.05	  	15.7	1.2	  	0.9	1.0	51.8	86.0	-57.8	12.6	59.6	545.3	77.6	0.2	0.9	3.4	1.07	60	2.32	0.96	1.97	1
Triticale 	FEEDTRITICALE	TRITICALE	209	85	  	2.4	10.6	6.8	10.4	-6.3	2.5	1.4	1.7	105.0	84.6	2.9	3.2	66.7	9.3	12.0	  	64.7	74.0	96.0	84.6	55.5	93.6	89.5	  	0.4	3.5	1.3	6.4	0.1	0.7	0.2	135.8	71.0	37.0	56.0	4.0	0.0	0.0	  	  	  	  	15	  	4	0.22	1.05	  	15.8	1.2	  	0.8	1.0	57.7	87.6	-53.2	14.6	27.0	562.4	78.3	0.2	0.9	3.4	1.06	79	2.74	1.22	2.36	1
Heste-bønner 	FEEDBROADBEAN	BROADBEAN	211	87	  	3.5	31.4	26.2	7.7	17.2	1.3	0.2	0.9	  	63.8	8.5	2.6	42.4	10.0	17.0	  	83.4	86.0	93.0	50.0	19.1	86.2	84.4	  	2.3	6.2	1.2	12.0	0.1	  	  	  	81.0	20.0	53.0	9.0	0.2	0.0	  	  	  	  	  	  	4	0.22	1.05	  	15.9	1.2	  	0.8	1.0	222.3	65.4	145.8	7.7	22.1	359.8	84.7	0.2	0.9	3.4						1
Hørfrø 			212	91	  	5.4	23.2	18.6	5.7	13.6	38.1	35.6	34.3	190.0	33.3	7.5	2.6	5.4	15.9	14.0	  	80.1	77.0	93.0	69.6	93.4	71.7	82.5	  	2.8	5.7	3.9	9.0	0.4	  	  	  	153.0	32.0	50.0	13.0	0.3	0.4	  	  	  	  	  	  	4	0.22	1.05	  	20.8	1.7	  	0.6	0.7	112.0	34.3	82.0	206.7	15.7	32.5	95.7	0.1	0.6	2.4						1
Rapsfrø, 00 	FEEDRAPE	RAPE	213	92	  	4.3	21.6	17.1	5.0	12.8	48.0	45.1	43.2	115.0	26.1	9.1	6.0	1.5	11.7	3.3	  	79.1	75.0	91.0	64.0	93.9	73.5	85.0	  	4.5	6.7	2.4	8.2	0.1	0.5	1.3	118.7	87.0	37.0	34.0	2.0	0.1	0.0	  	  	  	  	150	  	4	0.22	1.05	  	22.8	1.9	  	0.5	0.6	92.0	26.8	68.8	232.5	32.3	8.1	62.8	0.1	0.6	2.2						1
Soja- bønner 	FEEDSOYABEAN	SOYABEAN	214	87	  	5.5	40.8	34.9	7.4	26.9	20.8	19.0	18.7	135.0	32.9	5.8	5.0	5.5	10.2	15.0	  	85.6	75.0	90.0	60.0	91.2	63.1	79.0	  	2.6	6.3	2.8	19.0	0.3	0.3	2.3	345.6	160.0	34.0	45.0	16.0	0.1	0.1	  	  	  	  	35	  	4	0.22	1.05	  	18.5	1.4	  	0.7	0.8	242.1	51.3	186.3	129.7	34.6	38.2	70.9	0.2	0.7	2.8						1
Lupin,    gul 	FEEDLUPIN	LUPIN	215	91.5	  	3.8	41.9	35.9	11.3	24.9	4.9	3.7	4.2	125.0	49.4	17.7	5.0	2.0	41.0	24.9	  	85.8	80.0	97.6	87.8	75.6	97.1	91.1	  	2.4	4.7	3.1	14.0	0.2	0.4	2.2	218.0	42.0	50.0	42.0	5.0	0.1	0.1	  	  	  	  	  	  	4	0.22	1.05	  	18.3	1.4	  	0.7	0.8	261.0	82.4	181.0	30.3	36.3	14.5	297.7	0.2	0.8	2.9						1
Lupin, smalbladet 			218	87.9	  	4.4	35.5	30.0	10.9	18.9	5.3	4.1	4.5	116.0	54.8	17.2	5.0	1.5	46.5	24.9	  	84.5	80.0	97.6	87.8	77.1	96.7	91.1	  	3.8	6.4	2.3	11.8	0.1	0.5	2.2	154.6	42.0	50.0	42.0	5.0	0.1	0.1	  	  	  	  	  	  	4	0.22	1.05	  	17.8	1.3	  	0.7	0.9	224.8	81.8	141.8	33.7	37.4	11.2	348.1	0.2	0.8	3.0						1
Ærter 	FEEDPEA	PEA	216	85	  	3.3	24.8	20.1	10.2	8.2	2.0	0.9	1.4	120.0	69.9	6.4	5.0	49.2	13.8	11.5	  	80.9	82.0	96.0	77.8	46.0	97.3	92.0	  	0.8	4.9	1.3	11.4	0.1	0.9	0.7	226.8	79.0	10.0	54.0	7.0	0.2	0.0	  	  	  	  	  	  	4	0.22	1.05	  	16.9	1.3	  	0.8	0.9	156.4	79.2	64.0	10.9	38.9	382.9	107.4	0.2	0.8	3.1	1.13	372	22.78	5.01	14.44	1
Solsikkefrø 	FEEDSUNFLOWER_SEED	SUNFLOWER_SEED	217	92	  	3.5	18.4	14.1	3.0	12.9	36.4	33.9	32.8	140.0	41.7	25.0	2.3	1.5	11.3	  	  	76.7	85.0	94.0	60.0	93.3	36.2	65.4	  	2.2	6.1	3.8	9.0	0.7	  	  	  	205.0	40.0	10.3	31.0	0.3	0.1	  	  	  	  	  	  	4	0.22	1.05	  	17.6	1.3	  	0.8	0.8	109.7	23.4	100.7	254.8	17.9	11.7	87.8	0.2	0.8	3.1						1
Byg, afskallet 			221	88	  	1.1	11.8	8.0	10.4	-5.8	1.4	0.3	1.0	120.0	85.7	0.8	2.0	75.0	4.6	  	  	67.6	74.0	91.0	65.4	24.6	95.3	91.0	  	0.4	3.8	1.4	4.0	0.2	  	  	  	44.0	15.0	25.0	3.0	  	0.0	  	  	  	  	  	  	4	0.22	1.05	  	16.2	1.2	  	0.8	0.9	64.9	84.5	-47.6	8.0	16.3	610.8	37.8	0.2	0.9	3.3						1
Byg- skalmel 			224	88	  	6.1	12.3	8.4	7.7	-0.8	4.2	3.0	2.9	120.0	77.4	15.8	11.2	10.8	33.3	  	  	68.6	74.0	91.0	65.4	72.2	71.5	71.2	  	1.3	4.4	1.6	9.0	0.2	  	  	  	187.0	36.0	58.0	4.0	  	0.1	  	  	  	  	  	  	4	0.22	1.05	  	12.7	0.8	  	1.2	1.4	102.0	92.5	-9.4	35.5	135.3	130.5	402.9	0.3	1.3	4.8						1
Havre, afskallet 			225	88	  	2.3	16.0	11.9	8.5	2.1	6.7	5.4	5.4	110.0	75.0	3.3	1.0	57.1	0.0	  	  	74.3	78.0	95.0	77.3	81.1	77.5	77.2	  	0.8	4.6	1.3	4.0	  	  	  	  	56.0	40.0	34.0	4.0	  	0.0	  	  	  	  	  	  	4	0.22	1.05	  	14.8	1.1	  	0.9	1.1	109.8	78.4	19.4	49.5	9.2	527.8	0.1	0.2	1.0	3.7						1
Havre- fodermel 			227	89	  	3.0	15.2	11.1	8.2	1.7	8.0	6.7	6.4	110.0	73.8	3.5	1.0	55.8	0.0	  	  	73.3	78.0	95.0	77.3	83.5	77.0	77.0	  	2.8	5.4	1.4	4.0	0.1	  	  	  	82.0	43.0	36.0	4.0	  	0.2	  	  	  	  	  	  	4	0.22	1.05	  	14.8	1.1	  	0.9	1.0	102.8	76.0	15.8	59.1	9.2	514.9	0.3	0.2	1.0	3.7						1
Havre- skalmel 			228	90	  	5.9	3.9	0.6	6.3	-6.7	2.1	1.0	1.7	110.0	88.1	31.6	1.1	13.0	40.4	  	  	16.1	78.0	95.0	77.3	48.4	61.8	59.6	  	1.2	4.4	1.0	6.0	0.3	  	  	  	103.0	37.0	24.0	2.0	0.1	0.2	  	  	  	  	  	  	4	0.22	1.05	  	9.9	0.5	  	2.0	2.2	12.5	126.4	-133.0	33.4	21.9	258.8	803.3	0.4	2.1	8.0						1
Hvedemel 			231	86	  	1.1	12.0	8.2	11.0	-5.6	2.3	1.2	1.6	105.0	84.6	0.7	3.5	70.0	6.8	  	  	68.0	73.0	97.0	88.9	52.5	94.9	90.7	  	1.2	2.1	0.5	3.0	0.1	  	  	  	34.0	15.0	17.0	3.0	0.1	0.0	  	  	  	  	  	  	4	0.22	1.05	  	16.3	1.2	  	0.8	0.9	65.9	88.6	-45.0	13.0	28.2	565.0	54.9	0.2	0.8	3.2						1
Hvedeklid 			232	87	  	5.3	17.7	13.5	7.9	4.3	4.9	3.7	3.4	105.0	72.1	9.3	5.6	21.0	23.5	38.0	  	76.1	75.0	92.0	68.0	75.6	69.4	71.0	  	1.0	12.4	4.2	16.3	0.1	0.4	0.4	385.0	134.0	100.0	90.0	11.0	0.1	0.1	  	  	  	  	  	  	4	0.22	1.05	  	13.2	0.9	  	1.1	1.3	149.1	87.2	48.0	38.0	62.0	232.5	259.9	0.2	1.2	4.4						1
Hvede-strømel 			233	87	  	3.3	17.4	13.2	10.5	1.0	4.9	3.7	3.4	105.0	74.4	4.8	7.0	38.8	19.9	  	  	75.8	73.0	97.0	88.9	75.6	88.4	85.4	  	1.0	7.4	2.5	8.0	0.1	  	  	  	101.0	73.0	79.0	12.0	0.1	0.1	  	  	  	  	  	  	4	0.22	1.05	  	15.8	1.2	  	0.8	1.0	111.7	89.3	8.2	29.1	59.3	328.8	168.9	0.2	0.9	3.4						1
Hvedekim 			235	88	  	4.5	27.0	22.1	11.4	9.7	8.2	6.9	5.7	105.0	60.3	4.8	16.2	22.4	17.2	  	  	81.9	73.0	97.0	88.9	83.8	92.5	88.8	  	1.3	11.2	3.1	12.0	0.1	  	  	  	114.0	165.0	175.0	11.0	0.1	0.1	  	  	  	  	  	  	4	0.22	1.05	  	17.4	1.3	  	0.8	0.9	166.1	85.9	73.2	43.1	121.7	168.3	129.3	0.2	0.8	3.0						1
Majs-fodermel 			241	89	  	3.6	11.3	7.5	10.7	-6.7	7.4	6.1	6.7	120.0	77.7	4.8	4.6	53.2	10.5	  	  	66.5	49.0	85.0	70.6	82.5	87.9	85.0	  	0.3	5.6	1.5	7.0	0.9	1.3	0.2	166.1	80.0	16.0	45.0	3.0	0.0	0.1	  	  	  	  	  	  	4	0.22	1.05	  	15.7	1.2	  	0.9	1.0	64.2	91.7	-57.0	57.0	39.3	455.0	90.0	0.2	0.9	3.4						1
Majs- gluten- foder 			242	90	  	6.4	22.2	17.7	10.9	4.8	4.6	3.4	4.1	120.0	66.8	8.3	3.3	18.3	36.1	34.0	  	79.5	68.0	93.0	78.1	74.0	86.5	84.2	  	0.3	10.0	3.9	13.3	1.1	2.8	1.8	200.0	188.9	22.2	77.8	6.7	0.0	0.2	  	  	  	  	15	  	4	0.22	1.05	  	15.4	1.1	  	0.9	1.0	156.7	96.3	42.6	36.4	29.6	162.6	320.0	0.2	0.9	3.5						1
Majs-gluten 			243	91	  	1.4	66.0	58.4	44.9	10.4	6.8	5.5	6.1	120.0	25.8	1.3	0.0	15.0	11.8	  	  	88.5	23.0	98.0	97.4	81.3	100.0	92.0	  	0.4	3.3	1.2	1.0	0.6	  	  	  	266.0	8.0	42.0	18.0	0.0	0.1	  	  	  	  	  	  	4	0.22	1.05	  	20.7	1.7	  	0.6	0.7	349.4	268.8	62.2	36.6	0.0	89.8	70.6	0.1	0.6	2.4						1
Majskim 			244	90	  	5.8	16.1	12.0	12.4	-1.7	21.3	19.4	19.2	120.0	56.8	3.3	9.0	28.3	0.0	  	  	74.4	31.0	93.0	89.9	91.3	65.7	73.0	  	0.2	17.4	7.4	17.0	  	  	  	  	114.0	45.0	136.0	7.0	  	0.1	  	  	  	  	  	  	4	0.22	1.05	  	16.0	1.2	  	0.8	0.9	99.7	103.6	-13.9	159.6	74.9	235.6	0.1	0.2	0.9	3.3						1
Majsklid 			245	88	  	4.6	19.9	15.5	10.2	2.9	3.5	2.4	3.2	120.0	72.0	11.5	6.0	25.0	20.6	  	  	77.9	61.0	89.0	71.8	67.4	71.6	72.8	  	0.5	6.2	2.7	8.0	  	  	  	  	90.0	20.0	54.0	3.0	0.1	0.1	  	  	  	  	  	  	4	0.22	1.05	  	13.5	0.9	  	1.1	1.2	167.7	110.5	31.7	34.1	64.9	270.4	222.4	0.2	1.1	4.3						1
Majsmel 			246	87	  	0.6	10.5	6.8	14.3	-11.5	2.1	1.0	1.9	120.0	86.8	0.6	4.4	78.4	0.0	  	  	64.4	31.0	93.0	89.9	48.4	95.4	91.2	  	0.1	1.6	1.0	2.0	  	  	  	  	12.0	3.0	7.0	1.0	0.1	0.2	  	  	  	  	  	  	4	0.22	1.05	  	16.3	1.2	  	0.8	0.9	54.4	115.4	-92.8	15.2	35.4	630.9	0.3	0.2	0.8	3.2						1
Majs-stivelse 			247	88	  	0.1	0.5	-2.5	10.4	-16.9	0.1	-0.9	0.1	  	99.3	0.3	0.1	96.4	-1.2	  	  	  	31.0	93.0	89.9	  	96.0	92.0	  	0.4	1.6	0.1	1.0	0.2	  	  	  	11.0	2.0	2.0	1.0	  	0.0	  	  	  	  	  	  	4	0.22	1.05	  	15.6	1.2	  	0.9	1.0	-21.7	88.8	-144.2	0.6	0.9	823.9	-9.9	0.2	0.9	3.4						1
Ris, afskallet 			251	87	  	0.5	8.1	4.5	13.5	-13.0	1.0	0.0	0.7	  	90.4	0.8	0.0	85.0	1.5	  	  	56.0	30.0	93.0	90.0	  	95.7	91.5	  	0.3	1.1	0.4	6.0	  	  	  	  	14.0	11.0	19.0	3.0	  	0.0	  	  	  	  	  	  	4	0.22	1.05	  	16.1	1.2	  	0.8	0.9	37.3	111.3	-107.1	5.8	0.0	699.1	12.5	0.2	0.9	3.3						1
Ris- fodermel 			253	88	  	8.1	13.5	9.6	12.0	-4.0	14.7	13.1	10.3	  	63.7	4.7	4.0	41.0	0.0	  	  	70.8	30.0	93.0	90.0	89.2	70.7	73.7	  	3.0	1.3	0.4	1.0	  	  	  	  	16.0	10.0	15.0	3.0	  	0.0	  	  	  	  	  	  	4	0.22	1.05	  	14.6	1.1	  	0.9	1.1	90.4	113.7	-37.8	97.4	37.8	388.0	0.4	0.2	1.0	3.8						1
Rugklid 			256	88	  	5.7	16.7	12.5	8.6	2.9	3.5	2.4	2.5	105.0	74.1	6.5	15.3	16.7	23.9	  	  	75.0	77.0	96.0	82.6	67.4	75.5	75.1	  	1.1	11.1	3.5	16.0	0.1	  	  	  	103.0	58.0	82.0	11.0	0.1	0.0	  	  	  	  	  	  	4	0.22	1.05	  	13.5	0.9	  	1.1	1.2	132.6	91.4	30.4	25.9	161.9	176.7	253.1	0.2	1.1	4.2						1
Rug- strømel 			257	88	  	3.5	16.8	12.6	9.5	1.5	3.4	2.3	2.4	105.0	76.3	3.7	17.0	18.0	29.2	  	  	75.1	77.0	96.0	82.6	66.6	84.2	82.0	  	0.7	6.4	1.9	9.0	0.1	  	  	  	87.0	45.0	72.0	9.0	0.1	0.0	  	  	  	  	  	  	4	0.22	1.05	  	14.9	1.1	  	0.9	1.0	115.2	87.0	13.4	21.7	155.1	164.3	266.6	0.2	1.0	3.7						1
Guarmel 			258	94	  	5.1	42.6	36.6	13.4	19.8	6.7	5.4	5.4	  	45.6	13.8	6.3	5.0	33.0	  	  	86.0	65.0	89.0	68.6	81.1	97.2	91.0	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	4	0.22	1.05	  	18.4	1.4	  	0.7	0.8	261.1	95.5	141.0	38.2	44.9	35.7	235.4	0.2	0.7	2.9						1
Soja-skaller 			290	87.5	  	5.5	12.6	8.7	10.3	-6.1	2.9	1.7	2.0	130.0	79.1	38.9	1.9	0.7	69.9	63.2	  	69.1	54.0	78.0	52.2	61.0	91.6	87.7	  	6.4	1.6	2.9	14.9	0.1	0.3	0.2	362.8	777.1	34.3	57.1	9.7	0.4	0.2	  	  	  	  	  	  	4	0.22	1.05	  	15.2	1.0	  	1.0	1.1	86.7	102.3	-61.3	19.9	18.9	7.0	696.5	0.2	1.0	4.0						1
Tapioka-mel 			295	87	  	6.2	3.2	0.0	9.6	-12.9	0.8	-0.2	0.6	  	89.8	4.4	5.0	75.0	4.7	8.0	  	  	70.0	93.0	76.7	  	94.3	90.0	  	2.4	1.2	1.3	9.0	0.2	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	4	0.22	1.05	  	14.6	1.1	  	0.9	1.1	-0.2	91.1	-122.0	5.3	47.3	710.2	44.3	0.2	1.0	3.8						1
Batat- snitter 			296	86	  	3.3	5.8	2.4	10.3	-11.3	0.6	-0.4	0.4	  	90.3	3.0	5.0	75.0	6.0	  	  	41.3	70.0	93.0	76.7	  	95.3	91.0	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	4	0.22	1.05	  	15.3	1.1	  	0.9	1.0	21.1	90.5	-99.5	3.7	44.0	660.5	53.1	0.2	0.9	3.5						1
Korn- bærme, frisk 			261	11.5	  	5.6	32.0	26.8	13.5	12.5	7.0	5.7	4.9	  	55.4	6.6	3.0	3.0	31.4	  	  	83.6	60.0	95.0	87.5	81.7	67.5	74.0	  	2.0	8.1	3.3	18.3	1.8	  	  	  	130.0	41.0	79.0	13.0	0.1	  	  	  	  	  	  	  	4	0.22	1.05	  	14.9	1.1	  	0.9	8.0	247.3	124.7	115.8	45.3	27.7	27.7	290.0	0.2	1.0	3.7						1
Korn- bærme, tørret 			262	90	  	5.6	32.0	26.8	13.5	12.5	7.0	5.7	4.9	  	55.4	6.6	3.0	3.0	31.4	  	  	83.6	60.0	95.0	87.5	81.7	67.5	74.0	  	2.0	8.1	3.3	18.3	1.8	  	  	  	130.0	41.0	79.0	13.0	0.1	  	  	  	  	  	  	  	4	0.22	1.05	  	14.9	1.1	  	0.9	1.0	247.3	124.7	115.8	45.3	27.7	27.7	290.0	0.2	1.0	3.7						1
Majs- bærme 			263	89	  	6.7	29.2	24.2	18.3	1.5	10.7	9.2	9.6	120.0	53.4	7.9	0.5	1.0	44.4	42.5	  	82.7	33.0	87.0	80.6	86.6	85.9	85.0	  	3.4	8.4	3.6	11.3	4.8	2.6	5.8	62.3	286.5	39.3	65.2	9.0	0.2	0.4	  	  	  	  	45	  	4	0.22	1.05	  	16.9	1.3	  	0.8	0.9	188.9	142.9	11.3	75.1	3.9	7.8	346.6	0.2	0.8	3.1						1
Maltspirer 			265	95	  	6.4	28.9	23.9	7.9	12.8	2.8	1.7	2.0	  	61.9	12.8	15.0	5.0	21.8	  	  	82.6	70.0	84.0	46.7	60.3	67.6	72.0	  	4.0	9.2	2.0	22.0	0.8	  	  	  	164.0	78.0	139.0	52.0	  	  	  	  	  	  	  	  	10	0.22	1.05	  	13.6	0.9	  	1.1	1.1	256.3	84.6	137.0	21.0	161.0	53.7	234.3	0.2	1.1	10.7						1
Mask,   frisk 			266	24.2	  	4.2	27.8	22.9	13.6	6.3	10.0	8.6	7.9	123.0	58.0	15.1	2.0	10.0	22.6	  	  	82.2	45.0	87.0	76.4	86.0	59.7	69.0	  	3.7	7.2	2.7	1.0	0.3	0.3	2.4	-119.8	274.0	39.0	111.0	13.0	0.1	  	  	  	  	  	29	  	18	0.3	1.05	  	14.5	1.0	  	1.0	4.1	226.4	134.8	62.6	78.3	19.8	99.1	224.4	0.3	1.0	17.8						1
Mask, tørret 			267	91	  	3.9	28.7	23.7	13.9	7.2	10.0	8.6	8.0	125.0	57.4	16.2	2.0	10.0	20.1	  	  	82.5	45.0	88.0	78.2	86.0	55.9	67.0	  	3.5	5.4	2.0	1.0	0.3	  	  	  	274.0	34.0	83.0	17.0	0.1	  	  	  	  	  	  	  	17	0.22	1.05	  	14.2	1.0	  	1.0	1.1	241.3	141.5	73.2	81.5	20.4	101.8	204.6	0.2	1.1	17.3						1
Kartoffel-     pulp 			273	16	  	5.6	8.5	4.9	9.3	-7.6	0.5	-0.5	0.3	  	85.4	18.1	1.0	28.7	46.2	  	  	57.7	70.0	93.0	76.7	  	88.8	85.0	  	0.8	1.9	1.3	29.0	0.6	1.2	1.9	615.2	  	10.0	66.0	4.0	  	0.0	  	  	  	  	  	  	16	0.34	1.05	  	14.1	1.0	  	1.0	6.5	50.8	96.6	-78.6	3.4	10.4	297.1	477.8	0.4	1.1	16.6						1
Roe-melasse 			277	75	  	11.5	12.9	9.0	7.6	0.2	0.4	-0.6	0.3	  	75.2	0.0	63.0	0.0	8.3	0.0	  	69.7	100.0	100.0	0.0	  	94.8	90.0	  	2.0	0.2	0.1	37.0	11.6	4.0	4.0	1088.0	127.0	22.0	36.0	6.0	  	0.1	  	  	  	  	5	  	4	0.22	1.05	  	13.8	1.0	  	1.0	1.3	90.2	75.9	1.7	2.6	631.6	0.0	82.9	0.2	1.1	4.0						1
Rør-melasse 			278	73	  	14.2	5.5	2.1	7.7	-7.4	0.4	-0.6	0.3	  	79.9	0.0	61.8	0.0	10.5	0.0	  	38.5	100.0	100.0	0.0	  	90.5	86.0	  	8.0	0.8	4.4	50.0	2.4	4.0	4.0	1020.4	632.0	65.0	22.0	21.0	  	0.4	  	  	  	  	5	  	4	0.22	1.05	  	12.3	0.9	  	1.2	1.6	24.9	90.3	-87.1	3.1	726.3	0.0	123.3	0.3	1.2	4.7						1
Roeaffald, frisk 			282	11.5	  	6.2	10.5	6.8	10.0	-7.1	1.6	0.5	1.0	  	81.7	21.0	5.0	0.0	70.2	44.6	  	64.4	60.0	90.0	75.0	33.5	92.1	88.0	  	9.0	0.9	2.3	5.6	0.5	0.3	1.3	75.3	490.0	60.0	79.0	7.0	  	0.1	  	  	  	  	  	  	16	0.3	1.05	  	14.8	1.0	  	1.0	8.5	66.0	97.9	-69.6	10.1	48.7	0.0	684.8	0.3	1.0	15.6						1
Roepiller, umelasseret 			283	88	  	6.8	9.9	6.2	9.9	-8.3	1.6	0.5	1.0	  	81.7	19.9	6.3	0.0	69.0	44.5	  	62.7	52.0	82.0	62.5	33.1	92.1	88.0	  	10.2	1.1	2.3	6.0	0.7	0.3	1.1	105.9	636.4	68.2	25.0	7.5	0.3	0.1	  	  	  	  	  	  	8	0.22	1.05	  	14.7	1.0	  	1.0	1.1	61.0	97.7	-81.7	10.2	61.5	0.0	679.2	0.2	1.0	7.9						1
Roeaffald, hp,    ensileret, 5% melasse 			284	26	  	6.4	11.5	7.7	9.9	-5.9	1.4	0.3	0.9	  	80.7	18.0	2.0	0.0	73.3	38.4	  	66.9	66.0	92.0	76.5	24.6	93.3	89.0	  	8.0	0.8	2.0	10.0	2.1	0.8	1.7	218.3	440.0	55.0	73.0	7.0	  	0.1	  	  	  	  	  	  	16	0.26	1.05	  	15.0	1.1	  	1.0	3.7	73.1	94.5	-55.6	8.6	19.0	0.0	696.2	0.2	1.0	15.2						1
