			0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71
Fodermiddel	Productname	Plantname	Foderkode	Tørstof, procent	Procent af tørstof	Råaske	Råprotein	Fordøjeligt råprotein	AAT	PBV	Råfedt	Fordøjeligt råfedt	Fedtsyrer	Jodtal	Kulhydrat	Træstof	Sukker	Stivelse	Fordøjelige cellevægge	NDF	Fordøjelighedskoefficient	Råprotein	Protein nedbrg. (% af N)	Oprindeligt protein i tarm	Unedbrudt protein i tarm	Råfedt	Kulhydrat	Organisk stof	Mineraler, pr. kg tørstof	Calcium, g	Fosfor, g	Magnesium, g	Kalium, g	Natrium, g	Klor, g	Svovl, g	CAB, meq	Jern, mg	Mangan, mg	Zink, mg	Kobber, mg	Cobolt, mg	Selen, mg	Vitaminer, pr. kg tørstof	A-vitamin, 1000 i.e.	Beta-cartoen, mg	D-vitamin, 1000 i.e.	E-vitamin, mg	Struktur/fylde, pr. kg tørstof	Tyggetid, minutter	FFk, fylde køer	FFu, fylde ungdyr	Energi	Ford. energi, MJ pr. kg tørstof	FE pr. kg tørstof	Indhold pr. FE	Kg tørstof	Kg foder	Ford. råprotein, g	AAT, g	PBV, g	Fedtsyrer, g	Sukker, g	Stivelse, g	Ford. cellevægge, g	FFk, fylde køer	FFu, fylde ungdyr	Tyggetid, minutter	PigFE	Pig Ford råprotein	Lysin	Methionin	Treonin	FeedCat
Ris 	FEEDRICE	RICE	206	86	  	6.1	9.7	6.021	12.89908	-10.0391	2.5	1.4	1.75	  	81.7	9.9	0	69.1	3.415131	  	  	62.07216	30	93	90	56	88.75781	85.129	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	4	0.22	1.05	  	14.48205	1.028921968	  	0.971891	1.130105	58.51755	125.3649	-97.5691	17.00809	0	671.5766	33.19135	0.213816	1.020485	3.887564						1
Rug 	FEEDRYE	RYE	207	85	  	2	9.764705	6.081176	10.08801	-6.78539	2.12	1.0352	1.484	105	86.11529	2.470588	7	64	9.103623	10	  	62.2771	77	96	82.60869	48.83018	93.01904	89	  	0.4	3	1	5.5	0.1	0.7	0.2	112.7944	71	24	33	2	0.01	0.03	  	  	  	  	15	  	4	0.22	1.05	  	15.68499	1.173673104	  	0.852026	1.002383	51.8132	85.95246	-57.8132	12.64406	59.64182	545.2966	77.56523	0.187445	0.894627	3.408104	1.07	60	2.32	0.96	1.97	1	
Triticale 	FEEDTRITICALE	TRITICALE	209	85	  	2.35	10.59	6.8487	10.39421	-6.30439	2.47	1.3712	1.729	105	84.59	2.941176	3.2	66.70588	9.283662	12	  	64.67138	74	96	84.61538	55.51417	93.61572	89.513	  	0.4	3.54	1.3	6.4	0.1	0.7	0.2	135.8123	71	37	56	4	0.01	0.03	  	  	  	  	15	  	4	0.22	1.05	  	15.8275	1.186135499	  	0.843074	0.991852	57.7396	87.63088	-53.1506	14.57674	26.97836	562.3799	78.26814	0.185476	0.885227	3.372296	1.06	79	2.74	1.22	2.36	1	
Heste-bønner 	FEEDBROADBEAN	BROADBEAN	211	87	  	3.5	31.4	26.202	7.709574	17.18673	1.3	0.248	0.91	  	63.8	8.5	2.6	42.4	9.9767	17	  	83.44586	86	93	50	19.077	86.17037	84.38	  	2.3	6.2	1.2	12	0.1	  	  	  	81	20	53	9	0.2	0.02	  	  	  	  	  	  	4	0.22	1.05	  	15.94615	1.178580941	  	0.848478	0.975263	222.3182	65.41403	145.8256	7.721149	22.06042	359.7546	84.6501	0.186665	0.890901	3.393912						1	
Hørfrø 			212	91	  	5.4	23.2	18.576	5.692826	13.59908	38.1	35.576	34.29	190	33.3	7.5	2.6	5.4	15.88354	14	  	80.06896	77	93	69.56521	93.375	71.72234	82.49	  	2.8	5.7	3.9	9	0.4	  	  	  	153	32	50	13	0.3	0.35	  	  	  	  	  	  	4	0.22	1.05	  	20.77122	1.65924982	  	0.602682	0.662288	111.9542	34.30963	81.9592	206.6596	15.66973	32.54482	95.72723	0.13259	0.632816	2.410728						1	
Rapsfrø, 00 	FEEDRAPE	RAPE	213	92	  	4.3	21.6	17.088	4.975156	12.77553	48	45.08	43.2	115	26.1	9.1	6	1.5	11.677	3.260869	  	79.11111	75	91	64	93.91666	73.47509	85	  	4.5	6.7	2.4	8.2	0.1	0.5	1.3	118.7319	87	37	34	2	0.12	0.04	  	  	  	  	150	  	4	0.22	1.05	  	22.83873	1.858176534	  	0.538162	0.584959	91.96112	26.77439	68.75304	232.4859	32.28972	8.07243	62.84117	0.118395	0.56507	2.152648						1	
Soja- bønner 	FEEDSOYABEAN	SOYABEAN	214	87	  	5.5	40.8	34.944	7.406847	26.89437	20.8	18.968	18.72	135	32.9	5.8	5	5.517241	10.23426	15	  	85.64705	75	90	60	91.192	63.07448	79.009	  	2.6	6.3	2.8	19	0.3	0.34	2.3	345.6495	160	34	45	16	0.08	0.1	  	  	  	  	35	  	4	0.22	1.05	  	18.53051	1.443543032	  	0.69274	0.796253	242.071	51.31019	186.308	129.6809	34.637	38.22013	70.89681	0.152402	0.727377	2.77096						1	
Lupin,    gul 	FEEDLUPIN	LUPIN	215	91.5	  	3.83	41.86	35.9298	11.34202	24.92066	4.9	3.704	4.165	125	49.41	17.7	5	2	40.97707	24.9	  	85.83325	80	97.55	87.75	75.592	97.09991	91.1	  	2.4	4.7	3.1	14	0.2	0.4	2.2	217.9843	42	50	42	5	0.11	0.11	  	  	  	  	  	  	4	0.22	1.05	  	18.27199	1.376682306	  	0.726384	0.793862	260.9883	82.38661	181.0196	30.25389	36.3192	14.52768	297.6508	0.159804	0.762703	2.905536						1	
Lupin, smalbladet 			218	87.9	  	4.4	35.5	30.015	10.92575	18.93775	5.3	4.088	4.505	116	54.8	17.2	5	1.5	46.4886	24.9	  	84.54929	80	97.55	87.75	77.13207	96.69452	91.1	  	3.8	6.4	2.3	11.8	0.1	0.5	2.2	154.5536	42	50	42	5	0.11	0.11	  	  	  	  	  	  	4	0.22	1.05	  	17.83642	1.335339904	  	0.748873	0.851961	224.7742	81.81999	141.8196	33.73672	37.44365	11.23309	348.1405	0.164752	0.786316	2.995492						1	
Ærter 	FEEDPEA	PEA	216	85	  	3.2941	24.82352	20.08588	10.17512	8.218946	2	0.92	1.4	120	69.88237	6.352941	5	49.17647	13.78707	11.5	  	80.91469	82	96	77.77777	46	97.2542	92	  	0.8	4.9	1.3	11.4	0.1	0.9	0.7	226.8058	79	10	54	7	0.17647	0.02	  	  	  	  	  	  	4	0.22	1.05	  	16.93977	1.284300454	  	0.778634	0.91604	156.3954	79.22694	63.9955	10.90087	38.9317	382.9047	107.3508	0.171299	0.817565	3.114536	1.13	372	22.78	5.01	14.44	1	real value needed!
Solsikkefrø 	FEEDSUNFLOWER_SEED	SUNFLOWER_SEED	217	92	  	3.5	18.4	14.112	3.010474	12.94609	36.4	33.944	32.76	140	41.7	25	2.3	1.5	11.28588	  	  	76.69565	85	94	60	93.253	36.17717	65.432	  	2.2	6.1	3.8	9	0.7	  	  	  	205	40	10.3	31	0.28	0.137	  	  	  	  	  	  	4	0.22	1.05	  	17.61051	1.285930506	  	0.777647	0.845268	109.7415	23.41086	100.6748	254.7571	17.88588	11.6647	87.7643	0.171082	0.816529	3.110588						1	
Byg, afskallet 			221	88	  	1.1	11.8	7.974	10.3795	-5.84682	1.4	0.344	0.98	120	85.7	0.8	2	75	4.64144	  	  	67.57627	74	91	65.38461	24.571	95.26422	90.96	  	0.4	3.8	1.4	4	0.2	  	  	  	44	15	25	3	  	0.03	  	  	  	  	  	  	4	0.22	1.05	  	16.17398	1.227831502	  	0.814444	0.925504	64.94376	84.53521	-47.619	7.981551	16.28888	610.833	37.80192	0.179177	0.855166	3.257776						1	
Byg- skalmel 			224	88	  	6.1	12.3	8.439	7.658	-0.78144	4.2	3.032	2.94	120	77.4	15.8	11.2	10.8	33.3473	  	  	68.60975	74	91	65.38461	72.19	71.50814	71.159	  	1.3	4.4	1.6	9	0.2	  	  	  	187	36	58	4	  	0.05	  	  	  	  	  	  	4	0.22	1.05	  	12.65484	0.827737826	  	1.208112	1.372854	101.9525	92.51721	-9.44067	35.51849	135.3085	130.476	402.8727	0.265784	1.268517	4.832448						1	
Havre, afskallet 			225	88	  	2.3	16	11.88	8.486546	2.102611	6.7	5.432	5.36	110	75	3.3	1	57.1	0.013376	  	  	74.25	78	95	77.27272	81.075	77.4845	77.201	  	0.8	4.6	1.3	4	  	  	  	  	56	40	34	4	  	0.04	  	  	  	  	  	  	4	0.22	1.05	  	14.78615	1.081899816	  	0.9243	1.050341	109.8068	78.44114	19.43443	49.54248	9.243	527.7753	0.123634	0.203346	0.970515	3.6972						1	
Havre- fodermel 			227	89	  	3	15.2	11.136	8.235139	1.706857	8	6.68	6.4	110	73.8	3.5	1	55.8	0.035199	  	  	73.26315	78	95	77.27272	83.5	77.01246	76.96	  	2.8	5.4	1.4	4	0.1	  	  	  	82	43	36	4	  	0.16	  	  	  	  	  	  	4	0.22	1.05	  	14.81047	1.08361146	  	0.92284	1.036899	102.7674	75.99715	15.75155	59.06176	9.2284	514.9447	0.32483	0.203024	0.968982	3.69136						1	
Havre- skalmel 			228	90	  	5.9	3.9	0.627	6.349263	-6.68188	2.1	1.016	1.68	110	88.1	31.6	1.1	13	40.35377	  	  	16.07692	78	95	77.27272	48.381	61.80905	59.614	  	1.2	4.4	1	6	0.3	  	  	  	103	37	24	2	0.05	0.23	  	  	  	  	  	  	4	0.22	1.05	  	9.919087	0.502345956	  	1.99066	2.211845	12.48143	126.3922	-133.013	33.44308	21.89726	258.7858	803.3063	0.437945	2.090193	7.96264						1	
Hvedemel 			231	86	  	1.1	12	8.16	10.98057	-5.58046	2.3	1.208	1.61	105	84.6	0.7	3.5	70	6.806608	  	  	68	73	97	88.88888	52.522	94.92506	90.672	  	1.2	2.1	0.5	3	0.1	  	  	  	34	15	17	3	0.05	0.03	  	  	  	  	  	  	4	0.22	1.05	  	16.2829	1.238951649	  	0.807134	0.938529	65.86213	88.62791	-45.0417	12.99485	28.24969	564.9938	54.93844	0.177569	0.84749	3.228536						1	
Hvedeklid 			232	87	  	5.3	17.7	13.461	7.8778	4.333571	4.9	3.704	3.43	105	72.1	9.3	5.6	21	23.472	38	  	76.05084	75	92	68	75.59183	69.44798	71	  	1	12.4	4.2	16.3	0.1	0.4	0.4	384.96	134	100	90	11	0.05	0.05	  	  	  	  	  	  	4	0.22	1.05	  	13.18865	0.903087022	  	1.107313	1.272773	149.0554	87.2319	47.98619	37.98083	62.00952	232.5357	259.9085	0.243608	1.162678	4.429252						1
Hvede-strømel 			233	87	  	3.3	17.4	13.182	10.53399	0.963527	4.9	3.704	3.43	105	74.4	4.8	7	38.8	19.93544	  	  	75.75862	73	97	88.88888	75.592	88.35409	85.441	  	1	7.4	2.5	8	0.1	  	  	  	101	73	79	12	0.1	0.07	  	  	  	  	  	  	4	0.22	1.05	  	15.83081	1.180012013	  	0.847449	0.97408	111.7107	89.27019	8.165399	29.0675	59.32143	328.8102	168.9426	0.186438	0.889821	3.389796						1
Hvedekim 			235	88	  	4.5	27	22.11	11.43705	9.745196	8.2	6.872	5.74	105	60.3	4.8	16.2	22.4	17.2029	  	  	81.88888	73	97	88.88888	83.805	92.54212	88.78	  	1.3	11.2	3.1	12	0.1	  	  	  	114	165	175	11	0.05	0.07	  	  	  	  	  	  	4	0.22	1.05	  	17.35715	1.33096776	  	0.751333	0.853788	166.1197	85.93033	73.21887	43.12651	121.7159	168.2985	129.251	0.165293	0.788899	3.005332						1
Majs-fodermel 			241	89	  	3.6	11.3	7.509	10.71754	-6.66425	7.4	6.104	6.66	120	77.7	4.8	4.6	53.2	10.527	  	  	66.45132	49	85	70.58823	82.48648	87.93693	85	  	0.3	5.6	1.5	7	0.9	1.34831	0.22471	166.1329	80	16	45	3	0.03	0.12	  	  	  	  	  	  	4	0.22	1.05	  	15.72296	1.169345833	  	0.855179	0.960875	64.21539	91.65415	-56.9912	56.95492	39.33823	454.9552	90.02469	0.188139	0.897937	3.420716						1
Majs- gluten- foder 			242	90	  	6.4444	22.22222	17.66666	10.85644	4.801501	4.555555	3.373333	4.1	120	66.77782	8.333333	3.333333	18.33333	36.06714	34	  	79.5	68	93	78.125	74.04878	86.45657	84.2	  	0.33333	10	3.88888	13.33333	1.11111	2.77777	1.77777	199.9567	188.8888	22.22222	77.77777	6.666666	0.03	0.244444	  	  	  	  	15	  	4	0.22	1.05	  	15.42066	1.127187307	  	0.887164	0.985737	156.7322	96.31442	42.59718	36.37372	29.57213	162.6467	319.9746	0.195176	0.931522	3.548656						1
Majs-gluten 			243	91	  	1.4	66	58.38	44.92292	10.39357	6.8	5.528	6.12	120	25.8	1.3	0	15	11.804	  	  	88.45454	23	98	97.40259	81.29411	100	92	  	0.4	3.3	1.2	1	0.6	  	  	  	266	8	42	18	0.03	0.09	  	  	  	  	  	  	4	0.22	1.05	  	20.67258	1.671008504	  	0.598441	0.657627	349.3698	268.8371	62.19938	36.62458	0	89.76615	70.63997	0.131657	0.628363	2.393764						1
Majskim 			244	90	  	5.8	16.1	11.973	12.4491	-1.67186	21.3	19.448	19.17	120	56.8	3.3	9	28.3	0.01203	  	  	74.36646	31	93	89.85507	91.305	65.69019	72.965	  	0.2	17.4	7.4	17	  	  	  	  	114	45	136	7	  	0.09	  	  	  	  	  	  	4	0.22	1.05	  	15.99175	1.201134832	  	0.832546	0.925051	99.68073	103.6444	-13.919	159.599	74.92914	235.6105	0.100155	0.18316	0.874173	3.330184						1
Majsklid 			245	88	  	4.6	19.9	15.507	10.21499	2.930942	3.5	2.36	3.15	120	72	11.5	6	25	20.56512	  	  	77.92462	61	89	71.79487	67.429	71.61822	72.78	  	0.5	6.2	2.7	8	  	  	  	  	90	20	54	3	0.05	0.06	  	  	  	  	  	  	4	0.22	1.05	  	13.48433	0.924696422	  	1.081436	1.228905	167.6982	110.4685	31.69626	34.06523	64.88616	270.359	222.3986	0.237915	1.135507	4.325744						1
Majsmel 			246	87	  	0.6	10.5	6.765	14.33514	-11.5376	2.1	1.016	1.89	120	86.8	0.6	4.4	78.4	0.038998	  	  	64.42857	31	93	89.85507	48.381	95.43663	91.167	  	0.1	1.6	1	2	  	  	  	  	12	3	7	1	0.05	0.16	  	  	  	  	  	  	4	0.22	1.05	  	16.31739	1.242709953	  	0.804693	0.924935	54.43748	115.3538	-92.8422	15.20869	35.40649	630.8793	0.313814	0.177032	0.844927	3.218772						1
Majs-stivelse 			247	88	  	0.1	0.5	-2.535	10.39411	-16.8712	0.1	-0.904	0.07	  	99.3	0.3	0.1	96.4	-1.15299	  	  	  	31	93	89.85507	  	96.01913	92	  	0.4	1.6	0.1	1	0.2	  	  	  	11	2	2	1	  	0.03	  	  	  	  	  	  	4	0.22	1.05	  	15.57221	1.170051822	  	0.854663	0.971208	-21.6657	88.83461	-144.191	0.598264	0.854663	823.8951	-9.85417	0.188025	0.897396	3.418652						1
Ris, afskallet 			251	87	  	0.5	8.1	4.533	13.53026	-13.0199	1	-0.04	0.7	  	90.4	0.8	0	85	1.519649	  	  	55.96296	30	93	90	  	95.70757	91.47	  	0.3	1.1	0.4	6	  	  	  	  	14	11	19	3	  	0.04	  	  	  	  	  	  	4	0.22	1.05	  	16.05291	1.215858688	  	0.822464	0.945361	37.28229	111.2815	-107.083	5.757248	0	699.0944	12.49856	0.180942	0.863587	3.289856						1
Ris- fodermel 			253	88	  	8.1	13.5	9.555	12.01507	-3.9934	14.7	13.112	10.29	  	63.7	4.7	4	41	0.043082	  	  	70.77777	30	93	90	89.197	70.71127	73.678	  	3	1.3	0.4	1	  	  	  	  	16	10	15	3	  	0.04	  	  	  	  	  	  	4	0.22	1.05	  	14.58158	1.056810988	  	0.946243	1.075277	90.41351	113.6917	-37.7872	97.3684	37.84972	387.9596	0.40766	0.208173	0.993555	3.784972						1
Rugklid 			256	88	  	5.7	16.7	12.531	8.63863	2.87315	3.5	2.36	2.45	105	74.1	6.5	15.3	16.7	23.92075	  	  	75.03592	77	96	82.60869	67.429	75.4666	75.092	  	1.1	11.1	3.5	16	0.1	  	  	  	103	58	82	11	0.05	0.04	  	  	  	  	  	  	4	0.22	1.05	  	13.51656	0.945234083	  	1.057939	1.202204	132.5703	91.39143	30.39617	25.9195	161.8646	176.6758	253.0669	0.232746	1.110835	4.231756						1
Rug- strømel 			257	88	  	3.5	16.8	12.624	9.536144	1.468866	3.4	2.264	2.38	105	76.3	3.7	17	18	29.21594	  	  	75.14285	77	96	82.60869	66.588	84.16244	81.973	  	0.7	6.4	1.9	9	0.1	  	  	  	87	45	72	9	0.05	0.04	  	  	  	  	  	  	4	0.22	1.05	  	14.94142	1.095868794	  	0.912518	1.036953	115.1962	87.01903	13.40366	21.71792	155.128	164.2532	266.6007	0.200753	0.958143	3.650072						1
Guarmel 			258	94	  	5.1	42.6	36.618	13.39823	19.77767	6.7	5.432	5.36	  	45.6	13.8	6.3	5	33.009	  	  	85.95774	65	89	68.57142	81.07462	97.16885	91	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	4	0.22	1.05	  	18.39374	1.402257073	  	0.713136	0.758656	261.1361	95.5476	141.0416	38.22408	44.92756	35.6568	235.399	0.156889	0.748792	2.852544						1
Soja-skaller 			290	87.5	  	5.4857	12.57142	8.691428	10.26288	-6.14977	2.857142	1.742857	2	130	79.08572	38.85714	1.9	0.7	69.85475	63.2	  	69.13636	54	78	52.17391	61	91.61546	87.7	  	6.4	1.6	2.85714	14.85714	0.11428	0.34285	0.2	362.789	777.1428	34.28571	57.14285	9.714285	0.35	0.19	  	  	  	  	  	  	4	0.22	1.05	  	15.2358	1.002987901	  	0.997021	1.139453	86.65536	102.323	-61.3144	19.94042	18.94339	6.979147	696.4665	0.219344	1.046872	3.988084						1
Tapioka-mel 			295	87	  	6.2	3.2	-0.024	9.622425	-12.8807	0.8	-0.232	0.56	  	89.8	4.4	5	75	4.676	8	  	  	70	93	76.66666	  	94.29398	90	  	2.4	1.2	1.3	9	0.2	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	4	0.22	1.05	  	14.56398	1.056110072	  	0.946871	1.088357	-0.22724	91.11195	-121.963	5.302477	47.34355	710.1532	44.27568	0.208311	0.994214	3.787484						1
Batat- snitter 			296	86	  	3.3	5.8	2.394	10.27426	-11.3019	0.6	-0.424	0.42	  	90.3	3	5	75	6.027	  	  	41.27586	70	93	76.66666	  	95.26799	91	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	4	0.22	1.05	  	15.31825	1.135566159	  	0.880618	1.023975	21.08199	90.47698	-99.5265	3.698595	44.0309	660.4635	53.07484	0.193735	0.924648	3.522472						1
Korn- bærme, frisk 			261	11.5	  	5.6	32	26.76	13.4912	12.52571	7	5.72	4.9	  	55.4	6.6	3	3	31.376	  	  	83.625	60	95	87.5	81.71428	67.4657	74	  	2	8.1	3.3	18.3	1.8	  	  	  	130	41	79	13	0.07	  	  	  	  	  	  	  	4	0.22	1.05	  	14.9033	1.082035612	  	0.924184	8.036388	247.3116	124.6835	115.7606	45.28501	27.72552	27.72552	289.9719	0.20332	0.970393	3.696736						1
Korn- bærme, tørret 			262	90	  	5.6	32	26.76	13.4912	12.52571	7	5.72	4.9	  	55.4	6.6	3	3	31.376	  	  	83.625	60	95	87.5	81.71428	67.4657	74	  	2	8.1	3.3	18.3	1.8	  	  	  	130	41	79	13	0.07	  	  	  	  	  	  	  	4	0.22	1.05	  	14.9033	1.082035612	  	0.924184	1.026871	247.3116	124.6835	115.7606	45.28501	27.72552	27.72552	289.9719	0.20332	0.970393	3.696736						1
Majs- bærme 			263	89	  	6.7416	29.21348	24.16853	18.28096	1.452251	10.67415	9.247191	9.606741	120	53.37075	7.865168	0.5	1	44.3539	42.47191	  	82.73076	33	87	80.59701	86.63157	85.91578	85	  	3.37078	8.42696	3.5955	11.34831	4.83146	2.58426	5.84269	62.33686	286.5168	39.32584	65.16853	8.988764	0.18	0.42	  	  	  	  	45	  	4	0.22	1.05	  	16.94522	1.279592168	  	0.781499	0.878089	188.8768	142.8655	11.34932	75.07658	3.907495	7.81499	346.6252	0.171929	0.820573	3.125996						1
Maltspirer 			265	95	  	6.4	28.9	23.877	7.883218	12.76089	2.8	1.688	1.96	  	61.9	12.8	15	5	21.827	  	  	82.61937	70	84	46.66666	60.28571	67.57189	72	  	4	9.2	2	22	0.8	  	  	  	164	78	139	52	  	  	  	  	  	  	  	  	10	0.22	1.05	  	13.59901	0.931527164	  	1.073506	1.130006	256.321	84.62681	136.9889	21.04071	161.0259	53.6753	234.3141	0.236171	1.127181	10.73506						1
Mask,   frisk 			266	24.2	  	4.2	27.8	22.854	13.60595	6.322857	10	8.6	7.9	123	58	15.1	2	10	22.648	  	  	82.20863	45	87	76.36363	86	59.73793	69	  	3.7	7.2	2.7	1	0.3	0.3	2.4	-119.831	274	39	111	13	0.12	  	  	  	  	  	29	  	18	0.3	1.05	  	14.4672	1.009409717	  	0.990678	4.093711	226.4095	134.7911	62.63915	78.26356	19.81356	99.0678	224.3687	0.297203	1.040211	17.8322						1
Mask, tørret 			267	91	  	3.9	28.7	23.691	13.90004	7.183571	10	8.6	8	125	57.4	16.2	2	10	20.096	  	  	82.54703	45	88	78.18181	86	55.91637	67	  	3.5	5.4	2	1	0.3	  	  	  	274	34	83	17	0.12	  	  	  	  	  	  	  	17	0.22	1.05	  	14.22857	0.981992227	  	1.018338	1.119053	241.2544	141.5493	73.15303	81.46704	20.36676	101.8338	204.6452	0.224034	1.069254	17.31174						1
Kartoffel-     pulp 			273	16	  	5.6	8.5	4.905	9.330343	-7.59553	0.5	-0.52	0.325	  	85.4	18.1	1	28.7	46.155	  	  	57.70588	70	93	76.66666	  	88.82318	85	  	0.8	1.9	1.3	29	0.6	1.2	1.9	615.2221	  	10	66	4	  	0.04	  	  	  	  	  	  	16	0.34	1.05	  	14.13433	0.966079033	  	1.035112	6.46945	50.77224	96.5795	-78.6222	3.364114	10.35112	297.0771	477.7559	0.351938	1.086867	16.56179						1
Roe-melasse 			277	75	  	11.5	12.9	8.997	7.572331	0.173392	0.4	-0.616	0.26	  	75.2	0	63	0	8.269	0	  	69.74418	100	100	0	  	94.7726	90	  	2	0.2	0.1	37	11.6	4	4	1087.963	127	22	36	6	  	0.1	  	  	  	  	5	  	4	0.22	1.05	  	13.8174	0.997542056	  	1.002464	1.336619	90.19168	75.90989	1.738192	2.606406	631.5523	0	82.89374	0.220542	1.052587	4.009856						1
Rør-melasse 			278	73	  	14.2	5.5	2.115	7.680706	-7.40875	0.4	-0.616	0.26	  	79.9	0	61.8	0	10.489	0	  	38.45454	100	100	0	  	90.47434	86	  	8	0.8	4.4	50	2.4	4	4	1020.444	632	65	22	21	  	0.44	  	  	  	  	5	  	4	0.22	1.05	  	12.33506	0.850938543	  	1.175173	1.609826	24.8549	90.26158	-87.0656	3.055449	726.2569	0	123.2638	0.258538	1.233931	4.700692						1
Roeaffald, frisk 			282	11.5	  	6.2	10.5	6.765	10.04206	-7.13625	1.6	0.536	1.04	  	81.7	21	5	0	70.243	44.6	  	64.42857	60	90	75	33.5	92.09669	88	  	9	0.9	2.3	5.6	0.5	0.3	1.3	75.26093	490	60	79	7	  	0.11	  	  	  	  	  	  	16	0.3	1.05	  	14.83953	1.025759909	  	0.974887	8.477278	65.9511	97.89873	-69.5703	10.13882	48.74435	0	684.7898	0.292466	1.023631	15.59819						1
Roepiller, umelasseret 			283	88	  	6.8182	9.886363	6.194318	9.92617	-8.30166	1.590909	0.527272	1.03409	  	81.70452	19.88636	6.25	0	69.02839	44.54545	  	62.65517	52	82	62.5	33.14285	92.13491	88	  	10.22727	1.13636	2.27272	6	0.68181	0.3	1.1	105.8962	636.3636	68.18181	25	7.5	0.28409	0.11	  	  	  	  	  	  	8	0.22	1.05	  	14.70436	1.016256032	  	0.984004	1.118186	60.95233	97.6739	-81.6886	10.17548	61.50025	0	679.2421	0.21648	1.033204	7.872032						1
Roeaffald, hp,    ensileret, 5% melasse 			284	26	  	6.4	11.5	7.695	9.940406	-5.85017	1.4	0.344	0.91	  	80.7	18	2	0	73.265	38.4	  	66.91304	66	92	76.47058	24.57142	93.26517	89	  	8	0.8	2	10	2.1	0.8	1.7	218.2736	440	55	73	7	  	0.1	  	  	  	  	  	  	16	0.26	1.05	  	15.00324	1.052361288	  	0.950244	3.654787	73.12127	94.45811	-55.5908	8.64722	19.00488	0	696.1962	0.247063	0.997756	15.2039						1
Roeaffald, ensileret 			285	14	  	8	11	7.23	9.921862	-6.47035	1.6	0.536	1.04	  	79.4	21.1	1	0	72.194	44.6	  	65.72727	60	90	75	33.5	92.18387	88	  	9	0.9	2.3	5.6	0.5	0.3	1.3	75.26093	490	60	79	7	  	0.11	  	  	  	  	  	  	16	0.31	1.05	  	14.59775	1.001502253	  	0.9985	7.132149	72.19155	99.06979	-64.6064	10.3844	9.985	0	720.857	0.309535	1.048425	15.976						1
Roepiller, melasseret 			286	88	  	8.5	11.2	7.416	9.742052	-6.02402	1.477272	0.418181	0.960227	  	78.82272	14.7	23.3	0	50.57531	34.5	  	66.21428	64	90	72.22222	28.30769	93.72337	89.3	  	6.2	0.8	1.7	15.3	4.5	1	1	496.2875	381	44	25	7.4	0.09	0.11	  	  	  	  	  	  	8	0.22	1.05	  	14.54203	1.018198258	  	0.982127	1.116053	72.83453	95.67932	-59.1635	9.430648	228.8355	0	496.7137	0.216067	1.031233	7.857016						1
Vinasse 			287	65	  	30.7692	35.3846	29.90767	2.110357	31.83778	0.4	-0.616	0.26	  	33.4462	0	0	0	19.86219	0	  	84.52173	100	100	0	  	59.38549	71	  	1.53846	7.6923	0.15384	107.6923	0	33.84615	13.84615	935.4815	435.3846	98.46153	24.61538	12.30769	  	  	  	  	  	  	  	  	4	0.22	1.05	  	10.47472	0.666950788	  	1.499361	2.306709	448.4239	31.64186	477.3632	3.898338	0	0	297.8059	0.329859	1.574329	5.997444						1
Prolasse 			288	73	  	18.5	16.8	12.624	6.125418	6.505178	0	-1	0	  	64.7	0	37.1	0	20.551	  	  	75.14285	100	100	0	  	89.1051	85	  	5.9	3	1.9	49	17	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	4	0.22	1.05	  	12.40795	0.85814738	  	1.165301	1.596303	147.1075	71.37955	75.8049	0	432.3266	0	239.481	0.256366	1.223566	4.661204						1
Sukkerroe-  snitter 			289	93	  	6.5	5.8	2.394	9.148901	-9.9126	0.34	-0.6736	0.221	  	87.36	6.5	69.7	0	11.7946	  	  	41.27586	80	93	65	  	93.28594	89	  	3.1	1.8	1.5	11	1	  	  	  	1100	102	28	6	  	0.06	  	  	  	  	  	  	33	0.22	1.05	  	13.91509	0.984648348	  	1.015591	1.092034	24.31324	92.91541	-100.671	2.244456	707.8669	0	119.7848	0.22343	1.06637	33.5145						1
Citrus-kvas 			291	90	  	6.6666	6.666666	3.2	9.478756	-9.56429	2.777777	1.666666	1.944444	  	83.88895	13.33333	25	0	53.20005	22	  	48	66	93	79.41176	60	93.21853	89	  	16.66666	1.11111	1.33333	10	0.55555	0.33333	0.77777	221.9082	138.8888	11.11111	11.11111	7.777777	  	  	  	  	  	  	  	  	17	0.22	1.05	  	14.68129	1.036714197	  	0.964586	1.071763	30.86675	91.43075	-92.2558	18.75583	241.1465	0	513.1602	0.212208	1.012815	16.39796						1
